"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Sao Tome and Principe"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," All types","0.07","0.07","0.08","0.08","0.08","0.09","0.09","0.09","0.09"
"Saudi Arabia"," Data source"," Beer","0","0","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia"," Data source"," Spirits","0.07","0.07","0.08","0.08","0.08","0.08","0.08","0.09","0.08"
"Saudi Arabia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal"," Data source"," All types","0.27","0.30","0.30","0.24","0.25","0.25","0.27","0.31","0.28"
"Senegal"," Data source"," Beer","0.18","0.18","0.18","0.14","0.14","0.14","0.14","0.15","0.14"
"Senegal"," Data source"," Wine","0.07","0.10","0.10","0.08","0.08","0.08","0.11","0.13","0.11"
"Senegal"," Data source"," Spirits","0.02","0.02","0.02","0.02","0.02","0.03","0.02","0.03","0.03"
"Senegal"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Serbia"," Data source"," All types","7.35","7.32","7.21","7.09","7.06","7.78","8.60","8.36","8.64"
"Serbia"," Data source"," Beer","3.02","3.02","2.95","2.96","2.81","2.89","3.08","3.14","3.09"
"Serbia"," Data source"," Wine","1.72","1.72","1.70","1.60","1.76","2.41","3.02","2.72","3.05"
"Serbia"," Data source"," Spirits","2.38","2.35","2.33","2.29","2.27","2.25","2.28","2.28","2.28"
"Serbia"," Data source"," Other alcoholic beverages","0.24","0.24","0.23","0.23","0.22","0.23","0.23","0.21","0.22"
"Seychelles"," Data source"," All types","20.05","20.24","20.18","17.60","16.13","15.64","14.72","13.56","11.13"
"Seychelles"," Data source"," Beer","10.93","10.93","10.89","7.97","6.79","6.56","5.57","4.91","2.76"
"Seychelles"," Data source"," Wine","2.05","1.98","1.79","2.11","1.96","1.91","1.80","1.82","2.31"
"Seychelles"," Data source"," Spirits","6.73","6.99","7.25","7.24","7.20","7.07","7.29","6.69","5.98"
"Seychelles"," Data source"," Other alcoholic beverages","0.34","0.35","0.25","0.27","0.19","0.10","0.07","0.13","0.08"
"Sierra Leone"," Data source"," All types","3.43","3.43","3.49","3.41","3.39","3.17","3.49","3.75","3.74"
"Sierra Leone"," Data source"," Beer","0.15","0.15","0.10","0.12","0.12","0.22","0.18","0.18","0.17"
"Sierra Leone"," Data source"," Wine","0.04","0.04","0.14","0.03","0.02","0.03","0.28","0.32","0.24"
"Sierra Leone"," Data source"," Spirits","0","0","0","0","0","0","0","0.02","0.02"
"Sierra Leone"," Data source"," Other alcoholic beverages","3.25","3.25","3.25","3.25","3.25","2.92","3.03","3.24","3.32"
"Singapore"," Data source"," All types","1.85","1.80","1.84","1.82","1.84","1.86","1.94","1.89","1.84"
"Singapore"," Data source"," Beer","1.25","1.25","1.28","1.27","1.29","1.24","1.35","1.31","1.29"
"Singapore"," Data source"," Wine","0.30","0.27","0.27","0.27","0.27","0.28","0.27","0.27","0.25"
"Singapore"," Data source"," Spirits","0.27","0.24","0.25","0.25","0.24","0.30","0.29","0.28","0.27"
"Singapore"," Data source"," Other alcoholic beverages","0.04","0.03","0.04","0.03","0.03","0.03","0.03","0.03","0.03"
"Slovakia"," Data source"," All types","10.16","10.16","9.92","10.74","10.62","10.49","10.62","10.74","10.51"
"Slovakia"," Data source"," Beer","3.43","3.43","3.19","3.42","3.30","3.42","3.66","3.54","3.43"
"Slovakia"," Data source"," Wine","2.13","2.13","2.13","2.60","2.83","2.36","2.12","2.24","2.13"
"Slovakia"," Data source"," Spirits","4.14","4.14","4.25","4.25","4.13","4.13","4.36","4.48","4.61"
"Slovakia"," Data source"," Other alcoholic beverages","0.47","0.47","0.35","0.47","0.35","0.59","0.47","0.47","0.35"
"Slovenia"," Data source"," All types","9.99","10.12","10.51","11.49","10.92","9.53","10.95","10.61","10.33"
"Slovenia"," Data source"," Beer","4.66","4.59","4.35","5.73","5.37","4.55","4.58","4.94","4.59"
"Slovenia"," Data source"," Wine","4.13","4.60","5.32","4.90","4.73","4.09","5.50","4.81","4.85"
"Slovenia"," Data source"," Spirits","1.20","0.93","0.84","0.86","0.82","0.89","0.87","0.86","0.89"
"Slovenia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Solomon Islands"," Data source"," All types","1.25","1.25","1.28","0.98","0.94","0.97","1.00","1.05","1.09"
"Solomon Islands"," Data source"," Beer","1.21","1.21","1.24","0.94","0.91","0.93","0.96","0.98","0.99"
"Solomon Islands"," Data source"," Wine","0.04","0.04","0.04","0.04","0.03","0.04","0.04","0.03","0.03"
"Solomon Islands"," Data source"," Spirits","0","0","0","0","0","0","0","0.03","0.07"
"Solomon Islands"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Somalia"," Data source"," All types","0","0","0","0","0.01","0.01","0","0.00","0.00"
"Somalia"," Data source"," Beer","0","0","0","0","0","0","0","0.00","0"
"Somalia"," Data source"," Wine","0","0","0","0","0","0","0","0","0"
"Somalia"," Data source"," Spirits","0","0","0","0","0.01","0.01","0","0.00","0.00"
"Somalia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"South Africa"," Data source"," All types","7.26","7.34","7.30","7.33","7.39","7.35","7.37","7.31","7.25"
"South Africa"," Data source"," Beer","3.89","3.97","4.00","4.01","4.05","4.09","4.11","4.12","4.10"
"South Africa"," Data source"," Wine","1.36","1.45","1.43","1.42","1.35","1.28","1.28","1.28","1.27"
"South Africa"," Data source"," Spirits","1.32","1.30","1.27","1.26","1.29","1.30","1.33","1.32","1.29"
"South Africa"," Data source"," Other alcoholic beverages","0.68","0.63","0.60","0.63","0.69","0.68","0.65","0.60","0.58"
"Spain"," Data source"," All types","10.43","10.84","10.80","10.35","7.67","8.39","8.44","8.58","8.79"
"Spain"," Data source"," Beer","4.64","4.50","4.31","4.17","4.05","3.89","3.88","3.85","3.83"
"Spain"," Data source"," Wine","3.34","3.87","3.86","3.70","1.21","2.09","2.13","2.06","2.15"
"Spain"," Data source"," Spirits","2.29","2.30","2.46","2.31","2.24","2.26","2.27","2.50","2.64"
"Spain"," Data source"," Other alcoholic beverages","0.16","0.18","0.18","0.17","0.17","0.16","0.17","0.17","0.17"
"Sri Lanka"," Data source"," All types","2.58","2.58","2.65","2.72","2.45","2.65","2.89","3.03","2.31"
"Sri Lanka"," Data source"," Beer","0.22","0.22","0.21","0.36","0.37","0.40","0.40","0.28","0.30"
"Sri Lanka"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0"
"Sri Lanka"," Data source"," Spirits","2.32","2.32","2.38","2.31","2.03","2.18","2.42","2.70","1.97"
"Sri Lanka"," Data source"," Other alcoholic beverages","0.03","0.03","0.04","0.04","0.05","0.06","0.06","0.05","0.04"
"Sudan"," Data source"," All types","0.01","0.01","0.01","0.02","0.03","0.06","0.00","0.46",""
"Sudan"," Data source"," Beer","0.00","0.00","0.00","0.00","0.01","0.04","0.00","0.08",""
"Sudan"," Data source"," Wine","0","0","0","0.00","0.00","0.00","0.00","0.00",""
"Sudan"," Data source"," Spirits","0.01","0.01","0.01","0.02","0.02","0.02","0.00","0.38",""
"Sudan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0",""
"Suriname"," Data source"," All types","4.47","4.45","4.41","4.76","5.41","5.88","5.74","5.62","5.26"
"Suriname"," Data source"," Beer","1.96","1.96","1.99","2.06","2.15","2.10","2.06","2.03","2.03"
"Suriname"," Data source"," Wine","0.09","0.09","0.11","0.14","0.18","0.20","0.17","0.18","0.16"
"Suriname"," Data source"," Spirits","2.29","2.29","2.19","2.44","2.94","3.36","3.29","3.21","2.90"
"Suriname"," Data source"," Other alcoholic beverages","0.13","0.12","0.11","0.13","0.15","0.22","0.22","0.20","0.17"
"Sweden"," Data source"," All types","7.20","7.04","7.15","7.13","7.20","7.32","7.23","7.31","7.38"
"Sweden"," Data source"," Beer","2.69","2.57","2.65","2.62","2.64","2.65","2.63","2.67","2.74"
"Sweden"," Data source"," Wine","3.38","3.36","3.39","3.40","3.46","3.50","3.43","3.47","3.40"
"Sweden"," Data source"," Spirits","1.00","0.99","1.00","1.00","0.99","1.06","1.05","1.05","1.11"
"Sweden"," Data source"," Other alcoholic beverages","0.13","0.12","0.11","0.11","0.11","0.11","0.12","0.12","0.13"
"Switzerland"," Data source"," All types","9.51","9.51","9.51","9.62","9.62","9.74","9.87","9.99","10.01"
"Switzerland"," Data source"," Beer","3.17","3.05","3.05","3.17","3.17","3.17","3.17","3.17","3.18"
"Switzerland"," Data source"," Wine","4.23","4.23","4.34","4.58","4.58","4.69","4.70","4.82","4.94"
"Switzerland"," Data source"," Spirits","1.65","1.76","1.76","1.76","1.76","1.76","1.88","1.88","1.77"
"Switzerland"," Data source"," Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"Syrian Arab Republic"," Data source"," All types","0.16","0.12","0.18","0.24","0.20","0.15","0.22","0.61","0.77"
"Syrian Arab Republic"," Data source"," Beer","0.02","0.02","0.02","0.03","0.02","0.02","0.02","0.09","0.11"
"Syrian Arab Republic"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01"
"Syrian Arab Republic"," Data source"," Spirits","0.13","0.10","0.15","0.20","0.18","0.13","0.19","0.51","0.65"
"Syrian Arab Republic"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tajikistan"," Data source"," All types","0.84","0.86","0.86","0.90","0.81","0.78","0.76","0.69","0.67"
"Tajikistan"," Data source"," Beer","0.38","0.38","0.34","0.36","0.35","0.39","0.36","0.36","0.29"
"Tajikistan"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Tajikistan"," Data source"," Spirits","0.45","0.47","0.50","0.53","0.45","0.38","0.38","0.32","0.36"
"Tajikistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Thailand"," Data source"," All types","6.57","6.57","6.57","6.57","6.90","6.79","7.09","7.14","6.70"
"Thailand"," Data source"," Beer","1.86","1.86","1.86","1.86","2.10","2.22","2.11","1.94","1.86"
"Thailand"," Data source"," Wine","0.18","0.18","0.18","0.18","0.18","0.17","0.15","0.12","0.09"
"Thailand"," Data source"," Spirits","4.53","4.53","4.53","4.53","4.62","4.40","4.83","5.08","4.75"
"Thailand"," Data source"," Other alcoholic beverages","6.57","6.57","6.57","6.57","6.90","6.79","7.09","7.14","6.70"
"Timor-Leste"," Data source"," All types","0.48","0.48","0.49","0.49","0.52","0.48","0.49","0.46","0.10"
"Timor-Leste"," Data source"," Beer","0.38","0.38","0.38","0.38","0.38","0.38","0.39","0.34","0.02"
"Timor-Leste"," Data source"," Wine","0.10","0.10","0.11","0.11","0.13","0.09","0.09","0.07","0.05"
"Timor-Leste"," Data source"," Spirits","0","0","0","0","0","0","0","0.05","0.02"
"Timor-Leste"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Togo"," Data source"," All types","1.31","1.33","1.26","1.33","1.24","1.20","1.15","1.14","1.26"
"Togo"," Data source"," Beer","0.73","0.73","0.65","0.69","0.60","0.57","0.51","0.48","0.61"
"Togo"," Data source"," Wine","0.07","0.08","0.07","0.08","0.08","0.08","0.10","0.10","0.09"
"Togo"," Data source"," Spirits","0.20","0.21","0.22","0.23","0.24","0.23","0.21","0.21","0.19"
"Togo"," Data source"," Other alcoholic beverages","0.32","0.32","0.32","0.32","0.32","0.32","0.33","0.35","0.36"
"Tonga"," Data source"," All types","0.33","0.33","0.28","0.29","0.37","0.32","0.26","0.96","1.24"
"Tonga"," Data source"," Beer","0.03","0.03","0.03","0.03","0.15","0.08","0.08","0.53","0.92"
"Tonga"," Data source"," Wine","0.20","0.20","0.15","0.16","0.12","0.14","0.11","0.10","0.09"
"Tonga"," Data source"," Spirits","0.10","0.10","0.10","0.10","0.10","0.10","0.07","0.32","0.23"
"Tonga"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Trinidad and Tobago"," Data source"," All types","5.91","5.82","5.91","6.14","6.13","6.03","6.05","5.93","5.92"
"Trinidad and Tobago"," Data source"," Beer","2.97","2.97","2.95","2.89","2.87","2.91","2.92","2.92","2.94"
"Trinidad and Tobago"," Data source"," Wine","0.29","0.29","0.32","0.37","0.36","0.26","0.21","0.18","0.16"
"Trinidad and Tobago"," Data source"," Spirits","2.55","2.47","2.54","2.77","2.79","2.78","2.84","2.75","2.75"
"Trinidad and Tobago"," Data source"," Other alcoholic beverages","0.09","0.09","0.10","0.10","0.11","0.08","0.08","0.08","0.08"
"Tunisia"," Data source"," All types","1.60","1.56","1.53","1.49","1.48","1.39","1.35","1.26","1.26"
"Tunisia"," Data source"," Beer","1.00","1.00","1.02","1.04","0.96","0.86","0.85","0.85","0.87"
"Tunisia"," Data source"," Wine","0.38","0.38","0.36","0.30","0.36","0.38","0.37","0.29","0.26"
"Tunisia"," Data source"," Spirits","0.19","0.15","0.13","0.13","0.14","0.14","0.12","0.10","0.11"
"Tunisia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.01","0.02","0.02","0.02","0.02","0.02"
"Turkey"," Data source"," All types","1.43","1.38","1.38","1.43","1.50","1.46","1.60","1.59","1.56"
"Turkey"," Data source"," Beer","0.82","0.79","0.80","0.82","0.86","0.82","0.94","0.88","0.89"
"Turkey"," Data source"," Wine","0.17","0.15","0.16","0.14","0.14","0.14","0.13","0.13","0.14"
"Turkey"," Data source"," Spirits","0.44","0.44","0.42","0.47","0.50","0.51","0.53","0.58","0.53"
"Turkey"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Turkmenistan"," Data source"," All types","3.08","3.17","3.32","3.36","3.24","3.18","3.00","2.88","2.90"
"Turkmenistan"," Data source"," Beer","0.72","0.72","0.71","0.68","0.64","0.64","0.45","0.29","0.25"
"Turkmenistan"," Data source"," Wine","1.33","1.33","1.39","1.39","1.32","1.25","1.26","1.28","1.33"
"Turkmenistan"," Data source"," Spirits","1.03","1.12","1.21","1.29","1.28","1.29","1.30","1.31","1.31"
"Turkmenistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu"," Data source"," All types","0.90","0.90","0.96","1.38","1.76","1.52","1.79","1.27","0.97"
"Tuvalu"," Data source"," Beer","0.01","0.01","0.01","0.01","0.01","0.01","0","0.13","0.11"
"Tuvalu"," Data source"," Wine","0.66","0.66","0.71","1.13","1.51","1.27","1.68","1.08","0.50"
"Tuvalu"," Data source"," Spirits","0.23","0.23","0.23","0.23","0.23","0.23","0.12","0.06","0.36"
"Tuvalu"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Uganda"," Data source"," All types","12.20","12.19","12.10","12.13","12.52","7.72","8.39","11.71","11.50"
"Uganda"," Data source"," Beer","0.84","0.84","0.80","0.82","0.87","0.78","0.91","0.72","0.68"
"Uganda"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Uganda"," Data source"," Spirits","0.61","0.61","0.56","0.56","0.55","0.54","0.54","0.55","0.55"
"Uganda"," Data source"," Other alcoholic beverages","10.73","10.73","10.73","10.73","11.09","6.40","6.93","10.44","10.27"
"Ukraine"," Data source"," All types","5.15","5.15","5.74","6.06","7.60","8.74","8.55","8.75","7.77"
"Ukraine"," Data source"," Beer","2.44","2.44","2.37","2.52","2.94","3.22","3.29","3.33","3.39"
"Ukraine"," Data source"," Wine","0.31","0.29","0.31","0.32","0.35","0.42","0.42","0.43","0.46"
"Ukraine"," Data source"," Spirits","2.65","2.39","3.01","3.16","4.23","5.01","4.76","4.92","3.87"
"Ukraine"," Data source"," Other alcoholic beverages","0.05","0.04","0.05","0.07","0.08","0.08","0.08","0.06","0.06"
"United Arab Emirates"," Data source"," All types","2.12","2.16","2.17","2.14","2.02","1.90","1.83","1.81","1.75"
"United Arab Emirates"," Data source"," Beer","0.22","0.23","0.23","0.23","0.22","0.22","0.21","0.21","0.22"
"United Arab Emirates"," Data source"," Wine","0.15","0.15","0.15","0.15","0.14","0.13","0.12","0.12","0.12"
"United Arab Emirates"," Data source"," Spirits","1.73","1.76","1.77","1.75","1.64","1.55","1.49","1.47","1.41"
"United Arab Emirates"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," All types","10.01","9.88","9.69","9.59","9.45","9.42","9.53","9.80","10.01"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Beer","3.57","3.42","3.39","3.41","3.39","3.30","3.38","3.58","3.69"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Wine","3.44","3.52","3.46","3.39","3.30","3.28","3.22","3.22","3.23"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Spirits","2.39","2.26","2.18","2.08","2.02","2.04","2.11","2.12","2.20"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Other alcoholic beverages","0.61","0.67","0.66","0.71","0.73","0.80","0.82","0.88","0.89"
"United Republic of Tanzania"," Data source"," All types","7.31","7.31","7.41","7.39","6.98","6.30","5.84","6.71","6.59"
"United Republic of Tanzania"," Data source"," Beer","0.73","0.73","0.78","0.75","0.75","0.77","0.75","0.68","0.66"
"United Republic of Tanzania"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"United Republic of Tanzania"," Data source"," Spirits","0.21","0.20","0.25","0.26","0.26","0.27","0.27","0.24","0.21"
"United Republic of Tanzania"," Data source"," Other alcoholic beverages","6.37","6.37","6.37","6.37","5.96","5.24","4.81","5.78","5.72"
"United States of America"," Data source"," All types","8.82","8.82","8.86","8.78","8.78","8.81","8.85","8.66","8.56"
"United States of America"," Data source"," Beer","4.01","4.01","4.09","4.13","4.13","4.23","4.29","4.22","4.30"
"United States of America"," Data source"," Wine","1.63","1.63","1.63","1.59","1.63","1.59","1.60","1.55","1.45"
"United States of America"," Data source"," Spirits","3.18","3.18","3.14","3.07","3.03","2.99","2.96","2.89","2.81"
"United States of America"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Uruguay"," Data source"," All types","6.20","5.75","5.53","6.00","6.14","6.42","6.55","6.02","5.99"
"Uruguay"," Data source"," Beer","1.97","1.96","1.73","1.97","1.94","1.97","2.01","1.95","1.79"
"Uruguay"," Data source"," Wine","3.50","3.01","2.95","3.07","3.23","3.83","3.95","3.47","3.62"
"Uruguay"," Data source"," Spirits","0.73","0.79","0.85","0.96","0.97","0.62","0.59","0.61","0.58"
"Uruguay"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Uzbekistan"," Data source"," All types","1.57","1.57","1.59","1.59","1.48","1.52","1.43","1.68","1.69"
"Uzbekistan"," Data source"," Beer","0.55","0.55","0.55","0.53","0.44","0.48","0.53","0.77","0.81"
"Uzbekistan"," Data source"," Wine","0.14","0.14","0.17","0.18","0.16","0.16","0.10","0.10","0.07"
"Uzbekistan"," Data source"," Spirits","0.88","0.87","0.87","0.88","0.89","0.88","0.80","0.81","0.81"
"Uzbekistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Vanuatu"," Data source"," All types","1.57","1.57","1.58","1.47","1.48","1.59","1.79","1.65","1.18"
"Vanuatu"," Data source"," Beer","0.34","0.34","0.35","0.33","0.34","0.47","0.49","0.37","0.34"
"Vanuatu"," Data source"," Wine","0.30","0.30","0.31","0.22","0.22","0.20","0.24","0.17","0.19"
"Vanuatu"," Data source"," Spirits","0.92","0.92","0.92","0.92","0.92","0.92","1.07","1.11","0.65"
"Vanuatu"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Venezuela (Bolivarian Republic of)"," Data source"," All types","2.84","3.13","3.99","6.12","6.52","6.80","6.77","6.82","7.35"
"Venezuela (Bolivarian Republic of)"," Data source"," Beer","1.86","1.86","2.68","4.70","4.94","4.93","4.86","5.02","5.45"
"Venezuela (Bolivarian Republic of)"," Data source"," Wine","0.10","0.11","0.12","0.14","0.14","0.16","0.20","0.20","0.22"
"Venezuela (Bolivarian Republic of)"," Data source"," Spirits","0.84","1.12","1.14","1.22","1.35","1.62","1.63","1.53","1.62"
"Venezuela (Bolivarian Republic of)"," Data source"," Other alcoholic beverages","0.04","0.04","0.05","0.07","0.09","0.09","0.08","0.07","0.07"
"Viet Nam"," Data source"," All types","3.22","3.23","3.13","2.95","2.76","2.67","2.56","2.44","2.24"
"Viet Nam"," Data source"," Beer","2.96","2.96","2.83","2.66","2.50","2.43","2.33","2.24","2.06"
"Viet Nam"," Data source"," Wine","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Viet Nam"," Data source"," Spirits","0.23","0.24","0.27","0.26","0.23","0.21","0.21","0.19","0.16"
"Viet Nam"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen"," Data source"," All types","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.05"
"Yemen"," Data source"," Beer","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.03","0.05"
"Yemen"," Data source"," Wine","0","0","0.00","0.00","0.00","0.00","0","0","0"
"Yemen"," Data source"," Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0"
"Yemen"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Zambia"," Data source"," All types","3.95","3.95","3.85","3.85","4.66","2.78","3.51","3.49","3.59"
"Zambia"," Data source"," Beer","1.15","1.15","1.07","1.05","1.08","0.95","0.82","0.71","0.59"
"Zambia"," Data source"," Wine","0.08","0.08","0.06","0.08","0.09","0.07","0.60","0.61","0.68"
"Zambia"," Data source"," Spirits","0.62","0.62","0.62","0.62","0.70","0.01","0.38","0.34","0.35"
"Zambia"," Data source"," Other alcoholic beverages","2.10","2.10","2.10","2.10","2.79","1.75","1.71","1.84","1.97"
"Zimbabwe"," Data source"," All types","3.46","3.46","3.46","3.51","4.06","4.01","3.76","3.80","3.25"
"Zimbabwe"," Data source"," Beer","1.93","1.93","1.93","1.93","2.23","2.12","2.07","2.05","1.67"
"Zimbabwe"," Data source"," Wine","0.04","0.04","0.04","0.03","0.19","0.19","0.09","0.13","0.10"
"Zimbabwe"," Data source"," Spirits","0.27","0.27","0.27","0.27","0.27","0.41","0.42","0.31","0.32"
"Zimbabwe"," Data source"," Other alcoholic beverages","1.22","1.22","1.22","1.28","1.36","1.29","1.18","1.32","1.17"
