"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Canada"," Data source"," Other alcoholic beverages","0.30","0.30","0.30","0.30","0.30","0.20","0.20","0.20","0.20"
"Central African Republic"," Data source"," All types","0.88","0.88","0.87","0.87","0.75","1.62","1.87","1.89","1.87"
"Central African Republic"," Data source"," Beer","0.51","0.51","0.52","0.51","0.41","0.25","0.33","0.34","0.29"
"Central African Republic"," Data source"," Wine","0.02","0.02","0.01","0.01","0.01","0.00","0.01","0.02","0.01"
"Central African Republic"," Data source"," Spirits","0.03","0.03","0.03","0.03","0.02","0","0","0.02","0.04"
"Central African Republic"," Data source"," Other alcoholic beverages","0.32","0.32","0.32","0.32","0.32","1.37","1.53","1.50","1.52"
"Chad"," Data source"," All types","0.42","0.42","0.50","0.50","0.50","0.62","1.00","1.02","1.04"
"Chad"," Data source"," Beer","0.40","0.40","0.46","0.48","0.47","0.41","0.37","0.37","0.32"
"Chad"," Data source"," Wine","0.01","0.01","0.03","0.01","0.01","0.01","0.42","0.47","0.54"
"Chad"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.03","0.04","0.04","0.04","0.03"
"Chad"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.16","0.18","0.14","0.15"
"Chile"," Data source"," All types","7.84","7.84","7.78","7.89","7.92","7.23","8.35","7.02","7.55"
"Chile"," Data source"," Beer","2.80","2.80","2.74","2.85","2.79","2.67","2.55","2.51","2.35"
"Chile"," Data source"," Wine","2.61","2.61","2.61","2.61","2.85","2.37","2.65","2.51","3.10"
"Chile"," Data source"," Spirits","2.43","2.43","2.43","2.43","2.28","2.19","3.15","2.00","2.10"
"Chile"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"China"," Data source"," All types","5.62","5.64","5.63","5.66","5.76","5.76","5.69","5.57","5.75"
"China"," Data source"," Beer","1.67","1.67","1.68","1.74","1.86","1.88","1.82","1.76","1.67"
"China"," Data source"," Wine","0.20","0.20","0.18","0.17","0.16","0.18","0.18","0.18","0.17"
"China"," Data source"," Spirits","3.75","3.78","3.77","3.75","3.73","3.70","3.70","3.64","3.91"
"China"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Colombia"," Data source"," All types","4.29","4.33","4.54","4.48","4.34","4.33","4.36","4.28","4.19"
"Colombia"," Data source"," Beer","3.04","3.04","3.18","3.14","2.99","2.98","2.99","2.90","2.80"
"Colombia"," Data source"," Wine","0.10","0.10","0.10","0.10","0.10","0.06","0.06","0.06","0.05"
"Colombia"," Data source"," Spirits","1.14","1.18","1.24","1.22","1.23","1.27","1.28","1.30","1.33"
"Colombia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Comoros"," Data source"," All types","0.23","0.23","0.23","0.23","0.19","0.25","0.11","0.11","0.14"
"Comoros"," Data source"," Beer","0.06","0.06","0.06","0.06","0.06","0.06","0.03","0.02","0.03"
"Comoros"," Data source"," Wine","0.05","0.05","0.05","0.05","0.02","0.07","0.04","0.04","0.03"
"Comoros"," Data source"," Spirits","0.11","0.11","0.11","0.11","0.11","0.11","0.04","0.05","0.07"
"Comoros"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Congo"," Data source"," All types","5.75","5.68","5.86","4.39","4.49","4.34","4.27","4.12","3.94"
"Congo"," Data source"," Beer","5.18","5.18","5.33","3.78","3.80","3.65","3.57","3.46","3.25"
"Congo"," Data source"," Wine","0.10","0.09","0.12","0.15","0.19","0.19","0.19","0.18","0.23"
"Congo"," Data source"," Spirits","0.46","0.39","0.39","0.44","0.48","0.49","0.48","0.46","0.44"
"Congo"," Data source"," Other alcoholic beverages","0.01","0.01","0.02","0.02","0.03","0.02","0.02","0.02","0.01"
"Costa Rica"," Data source"," All types","3.79","3.84","3.77","3.72","3.64","3.60","3.51","3.58","3.75"
"Costa Rica"," Data source"," Beer","2.43","2.43","2.38","2.31","2.27","2.23","2.22","2.12","2.11"
"Costa Rica"," Data source"," Wine","0.36","0.37","0.37","0.37","0.35","0.32","0.31","0.31","0.29"
"Costa Rica"," Data source"," Spirits","0.98","1.02","1.00","1.02","0.99","1.02","0.96","1.12","1.31"
"Costa Rica"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.03","0.02","0.03","0.03","0.03","0.03"
"Côte d'Ivoire"," Data source"," All types","1.45","1.58","1.53","1.58","1.39","1.22","1.25","1.17","1.13"
"Côte d'Ivoire"," Data source"," Beer","1.00","1.00","0.95","1.04","0.91","0.79","0.78","0.71","0.69"
"Côte d'Ivoire"," Data source"," Wine","0.28","0.41","0.43","0.38","0.31","0.27","0.32","0.32","0.32"
"Côte d'Ivoire"," Data source"," Spirits","0.10","0.10","0.10","0.11","0.11","0.12","0.12","0.11","0.10"
"Côte d'Ivoire"," Data source"," Other alcoholic beverages","0.07","0.07","0.06","0.06","0.05","0.04","0.04","0.03","0.03"
"Croatia"," Data source"," All types","10.10","10.06","10.39","9.99","9.87","10.76","10.96","11.40","11.10"
"Croatia"," Data source"," Beer","4.67","4.67","4.63","4.56","4.26","4.62","4.56","4.73","4.48"
"Croatia"," Data source"," Wine","3.72","3.70","4.08","3.76","3.95","4.52","4.79","5.08","5.03"
"Croatia"," Data source"," Spirits","1.36","1.35","1.35","1.34","1.33","1.28","1.24","1.21","1.19"
"Croatia"," Data source"," Other alcoholic beverages","0.35","0.34","0.33","0.33","0.33","0.34","0.36","0.39","0.39"
"Cuba"," Data source"," All types","4.50","4.46","4.35","4.42","4.30","4.13","4.09","4.11","4.07"
"Cuba"," Data source"," Beer","1.71","1.71","1.70","1.77","1.72","1.68","1.64","1.62","1.60"
"Cuba"," Data source"," Wine","0.07","0.07","0.07","0.07","0.06","0.07","0.05","0.05","0.05"
"Cuba"," Data source"," Spirits","2.71","2.66","2.57","2.56","2.50","2.37","2.39","2.42","2.40"
"Cuba"," Data source"," Other alcoholic beverages","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Cyprus"," Data source"," All types","9.59","9.59","9.59","9.59","9.63","9.07","10.58","10.71","11.33"
"Cyprus"," Data source"," Beer","2.85","2.85","2.85","2.85","3.22","3.32","3.49","3.54","3.79"
"Cyprus"," Data source"," Wine","2.72","2.72","2.72","2.72","2.79","2.49","2.61","2.56","2.67"
"Cyprus"," Data source"," Spirits","4.02","4.02","4.02","4.02","3.62","3.26","4.48","4.61","4.87"
"Cyprus"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Czechia"," Data source"," All types","12.93","12.93","12.93","12.76","12.74","12.53","12.82","12.56","12.68"
"Czechia"," Data source"," Beer","6.89","6.89","6.89","6.87","6.87","6.86","6.93","6.64","6.72"
"Czechia"," Data source"," Wine","2.76","2.76","2.76","2.66","2.74","2.63","2.77","2.71","2.71"
"Czechia"," Data source"," Spirits","3.28","3.28","3.28","3.23","3.13","3.03","3.12","3.21","3.26"
