"","","Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)","Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)","Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)"
"Country","Year"," Both sexes"," Male"," Female"
"Samoa"," 2016","67.7 [63.2-71.9]","76.2 [71.9-79.9]","40.6 [35.4-46.1]"
"Sao Tome and Principe"," 2016","47.5 [42.8-52.2]","57.5 [52.3-62.5]","22.5 [19-26.3]"
"Saudi Arabia"," 2016","3 [2.3-3.9]","4 [3.1-5.3]","0.9 [0.7-1.2]"
"Senegal"," 2016","36.2 [31.8-40.9]","44.1 [38.9-49.4]","14.4 [12-17.3]"
"Serbia"," 2016","60.9 [56.2-65.3]","73.1 [68.6-77.2]","36.8 [31.9-42]"
"Seychelles"," 2016","54.4 [49.4-59.3]","66.1 [60.9-71]","29.5 [25-34.3]"
"Sierra Leone"," 2016","44.9 [40.3-49.5]","54.7 [49.5-59.7]","20.5 [17.3-24.1]"
"Singapore"," 2016","53.2 [44.9-61.1]","66.6 [57.8-74.4]","30 [22.7-38.3]"
"Slovakia"," 2016","63.4 [58.9-67.7]","76.4 [72.2-80.1]","40.9 [35.8-46.2]"
"Slovenia"," 2016","65.2 [60.7-69.4]","78.1 [74.1-81.6]","43.3 [38.1-48.7]"
"Solomon Islands"," 2016","64.9 [60.1-69.3]","73.5 [68.9-77.7]","37.3 [32.1-42.8]"
"Somalia"," 2016","6.7 [5-8.8]","8.2 [6.2-10.8]","1.9 [1.4-2.5]"
"South Africa"," 2016","65.4 [60.3-70.1]","74.4 [69.4-78.8]","38.4 [32.8-44.2]"
"Spain"," 2016","49.5 [45.7-53.2]","62.6 [58.5-66.6]","26.4 [23.3-29.9]"
"Sri Lanka"," 2016","39.2 [35-43.5]","47.8 [43-52.7]","16.4 [13.9-19.3]"
"Sudan"," 2016","19.8 [14.6-26.2]","23.9 [17.7-31.5]","6.3 [4.4-9]"
"Suriname"," 2016","51.5 [46.5-56.5]","62.1 [56.7-67.3]","26 [21.9-30.6]"
"Sweden"," 2016","50.4 [46.7-54.1]","64.1 [60.1-67.9]","27.7 [24.4-31.2]"
"Switzerland"," 2016","55.6 [51.8-59.4]","70.6 [66.8-74.2]","34 [30.1-38.1]"
"Syrian Arab Republic"," 2016","2.2 [1.6-3.1]","2.5 [1.8-3.6]","0.6 [0.4-0.8]"
"Tajikistan"," 2016","44.7 [40.1-49.3]","53.2 [48-58.2]","19.6 [16.6-23]"
"Thailand"," 2016","47.4 [42.9-52]","57.7 [52.7-62.6]","22.6 [19.3-26.4]"
"Timor-Leste"," 2016","34.4 [30.4-38.6]","41.6 [37-46.5]","13.3 [11.2-15.7]"
"Togo"," 2016","40.3 [35.7-44.9]","48.9 [43.7-54.1]","17 [14.3-20.2]"
"Tonga"," 2016","66 [61.4-70.3]","74.5 [70-78.5]","38.5 [33.3-44]"
"Trinidad and Tobago"," 2016","59.8 [54.9-64.6]","72.1 [67.2-76.5]","35.6 [30.5-41.2]"
"Tunisia"," 2016","25 [18.9-32.2]","27.9 [21.2-35.8]","7.7 [5.4-10.7]"
"Turkey"," 2016","25.5 [19.5-32.4]","29.9 [23-37.8]","8.4 [6-11.5]"
"Turkmenistan"," 2016","51.3 [46.8-55.7]","61 [56.2-65.7]","25.1 [21.6-29]"
"Tuvalu"," 2016","65.5 [60.8-69.8]","74.4 [69.9-78.4]","38.4 [33.2-43.9]"
"Uganda"," 2016","60.7 [56.5-64.8]","71.3 [67.1-75.1]","34.7 [30.4-39.3]"
"Ukraine"," 2016","38.4 [32-45.2]","51.5 [43.7-59.3]","18.6 [14.3-23.8]"
"United Arab Emirates"," 2016","39.2 [31.5-47.4]","44.5 [36-53.4]","14.7 [10.8-19.7]"
"United Kingdom of Great Britain and Northern Ireland"," 2016","52.4 [48.6-56]","66.4 [62.4-70.1]","29.7 [26.3-33.3]"
"United Republic of Tanzania"," 2016","60.7 [56.4-64.7]","71.2 [67-75.1]","34.6 [30.3-39.2]"
"United States of America"," 2016","46.7 [42.5-50.9]","60 [55.4-64.5]","24.4 [21-28]"
"Uruguay"," 2016","42.2 [35.5-49.2]","54.9 [46.9-62.6]","20.7 [15.9-26.4]"
"Uzbekistan"," 2016","44.2 [39.6-48.8]","52.7 [47.6-57.8]","19.3 [16.3-22.7]"
"Vanuatu"," 2016","64.8 [60.1-69.3]","73.4 [68.8-77.6]","37.2 [32-42.7]"
"Venezuela (Bolivarian Republic of)"," 2016","45.9 [40.5-51.4]","55.7 [49.7-61.7]","21.3 [17.5-25.6]"
"Viet Nam"," 2016","45.9 [41.4-50.5]","55.5 [50.4-60.4]","21.1 [17.9-24.6]"
"Yemen"," 2016","2 [1.4-2.8]","2.4 [1.7-3.4]","0.5 [0.4-0.8]"
"Zambia"," 2016","53 [48.7-57.3]","62.9 [58.3-67.3]","26.6 [23-30.6]"
"Zimbabwe"," 2016","54.1 [48.5-59.5]","63.5 [57.6-69]","27.2 [22.6-32.3]"
