Country,Gender,2018,2015,2010,2005,2000
Guinea,Both,1.1,1.1,0.7,0.8,0.7
Guinea,Male,1.9,1.8,1.2,1.3,1.1
Guinea,Female,0.3,0.3,0.2,0.2,0.2
Guinea-Bissau,Both,5.4,5.0,4.5,5.3,4.1
Guinea-Bissau,Male,9.0,8.4,7.5,8.9,6.9
Guinea-Bissau,Female,2.0,1.9,1.7,2.0,1.6
Guyana,Both,6.9,7.4,6.8,8.0,9.0
Guyana,Male,11.0,11.8,11.0,12.9,14.5
Guyana,Female,2.7,2.9,2.7,3.2,3.6
Haiti,Both,2.7,2.7,3.0,3.9,4.0
Haiti,Male,4.5,4.4,4.9,6.3,6.5
Haiti,Female,1.1,1.1,1.2,1.5,1.6
Honduras,Both,3.8,3.5,3.6,3.9,3.5
Honduras,Male,6.1,5.6,5.8,6.3,5.7
Honduras,Female,1.5,1.4,1.5,1.6,1.4
Hungary,Both,11.3,11.6,12.1,14.6,14.3
Hungary,Male,18.1,18.5,19.3,23.0,22.5
Hungary,Female,5.4,5.5,5.8,7.2,7.0
Iceland,Both,9.1,8.7,7.5,7.7,7.0
Iceland,Male,13.9,13.3,11.4,11.8,10.8
Iceland,Female,4.3,4.2,3.5,3.7,3.3
India,Both,5.5,5.5,4.3,2.3,2.3
India,Male,9.0,9.0,7.1,3.8,3.7
India,Female,1.9,1.9,1.5,0.8,0.8
Indonesia,Both,0.6,0.6,0.6,0.5,0.5
Indonesia,Male,1.0,1.0,1.0,0.8,0.9
Indonesia,Female,0.2,0.2,0.2,0.1,0.1
Iran (Islamic Republic of),Both,1.0,1.0,1.0,0.6,0.2
Iran (Islamic Republic of),Male,1.8,1.8,1.7,1.0,0.4
Iran (Islamic Republic of),Female,0.3,0.3,0.3,0.2,0.1
Iraq,Both,0.4,0.4,0.5,0.4,0.5
Iraq,Male,0.7,0.6,0.8,0.8,0.8
Iraq,Female,0.1,0.1,0.1,0.1,0.1
Ireland,Both,12.9,12.5,12.1,14.2,15.1
Ireland,Male,19.6,19.0,18.3,21.3,22.7
Ireland,Female,6.4,6.1,6.0,7.2,7.7
Israel,Both,4.2,3.9,3.1,2.7,3.1
Israel,Male,6.6,6.1,4.9,4.3,4.9
Israel,Female,1.9,1.8,1.4,1.2,1.4
Italy,Both,7.8,7.6,7.3,9.4,10.4
Italy,Male,12.5,12.1,11.7,14.9,16.3
Italy,Female,3.5,3.4,3.3,4.3,4.9
Jamaica,Both,4.2,4.2,4.4,4.4,4.9
Jamaica,Male,6.8,6.8,7.1,7.2,7.9
Jamaica,Female,1.7,1.7,1.8,1.8,2.0
Japan,Both,8.0,7.9,7.2,8.0,8.2
Japan,Male,12.3,12.2,11.1,12.3,12.6
Japan,Female,3.9,3.8,3.5,3.9,4.0
Jordan,Both,0.7,0.7,0.6,0.7,0.6
Jordan,Male,1.2,1.2,1.1,1.1,1.0
Jordan,Female,0.2,0.2,0.2,0.2,0.2
Kazakhstan,Both,4.8,4.7,5.0,9.3,8.2
Kazakhstan,Male,7.9,7.7,8.2,15.5,13.7
Kazakhstan,Female,1.9,1.9,2.0,3.8,3.3
Kenya,Both,2.8,2.8,3.3,3.0,3.8
Kenya,Male,4.5,4.5,5.4,4.9,6.2
Kenya,Female,1.1,1.1,1.3,1.2,1.5
Kiribati,Both,0.5,0.5,1.7,2.2,2.0
Kiribati,Male,0.8,0.9,2.8,3.7,3.4
Kiribati,Female,0.2,0.2,0.6,0.8,0.7
Kuwait,Both,0.0,0.0,0.0,0.0,0.0
Kuwait,Male,0.0,0.0,0.0,0.0,0.1
Kuwait,Female,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,Both,6.3,7.6,10.1,11.2,9.5
Kyrgyzstan,Male,10.8,13.0,17.2,18.8,15.9
Kyrgyzstan,Female,1.9,2.4,3.3,3.8,3.3
Lao People's Democratic Republic,Both,10.7,10.1,7.1,4.4,4.7
Lao People's Democratic Republic,Male,17.0,16.0,11.4,7.0,7.5
Lao People's Democratic Republic,Female,4.6,4.3,3.0,1.8,1.9
Latvia,Both,12.8,12.6,11.6,12.0,8.8
Latvia,Male,20.9,20.7,19.2,19.7,14.7
Latvia,Female,6.1,6.0,5.5,5.7,3.9
Lebanon,Both,1.7,1.6,1.9,2.3,3.0
Lebanon,Male,2.9,2.8,3.2,3.8,5.0
Lebanon,Female,0.5,0.5,0.6,0.7,0.9
Lesotho,Both,4.6,4.8,6.5,5.4,7.3
Lesotho,Male,7.9,8.3,11.2,9.3,12.7
Lesotho,Female,1.6,1.7,2.3,1.9,2.6
Liberia,Both,6.1,5.7,5.4,6.1,6.4
Liberia,Male,9.7,9.1,8.6,9.7,10.2
Liberia,Female,2.5,2.3,2.2,2.5,2.6
Libya,Both,0.0,0.0,0.1,0.1,0.1
Libya,Male,0.0,0.1,0.2,0.1,0.1
Libya,Female,0.0,0.0,0.0,0.0,0.0
Lithuania,Both,13.2,15.4,15.2,16.1,13.4
Lithuania,Male,21.3,24.7,24.6,25.8,21.7
Lithuania,Female,6.6,7.7,7.6,8.0,6.4
Luxembourg,Both,12.9,13.2,13.0,13.6,14.3
Luxembourg,Male,19.5,19.8,19.7,20.7,21.8
Luxembourg,Female,6.4,6.5,6.4,6.8,7.2
Madagascar,Both,2.0,1.9,1.9,1.5,2.1
Madagascar,Male,3.2,3.1,3.0,2.5,3.4
Madagascar,Female,0.8,0.7,0.7,0.6,0.8
Malawi,Both,3.6,3.6,3.2,2.9,2.4
Malawi,Male,6.0,6.0,5.3,4.7,4.0
Malawi,Female,1.4,1.4,1.2,1.1,0.9
Malaysia,Both,0.9,0.9,1.3,1.3,1.5
Malaysia,Male,1.3,1.4,2.1,2.1,2.5
Malaysia,Female,0.3,0.3,0.5,0.5,0.6
Maldives,Both,2.2,2.1,1.6,1.5,2.0
Maldives,Male,3.4,3.2,2.6,2.5,3.5
Maldives,Female,0.5,0.5,0.4,0.4,0.6
Mali,Both,1.3,1.2,1.1,1.0,1.2
Mali,Male,2.2,2.2,1.9,1.8,2.0
Mali,Female,0.4,0.4,0.3,0.3,0.3
Malta,Both,8.0,7.6,6.6,6.6,5.7
Malta,Male,12.4,11.8,10.3,10.4,9.0
Malta,Female,3.6,3.4,2.9,3.0,2.6
Mauritania,Both,0.0,0.0,0.1,0.1,0.2
Mauritania,Male,0.1,0.1,0.1,0.2,0.3
Mauritania,Female,0.0,0.0,0.0,0.0,0.1
Mauritius,Both,4.3,3.9,3.8,5.0,5.5
Mauritius,Male,7.0,6.3,6.1,8.1,8.8
Mauritius,Female,1.8,1.6,1.6,2.1,2.3
Mexico,Both,5.0,4.9,5.2,6.5,6.4
Mexico,Male,8.0,7.8,8.3,10.3,10.2
Mexico,Female,2.1,2.1,2.2,2.8,2.8
Micronesia (Federated States of),Both,2.5,2.4,2.8,2.8,3.9
Micronesia (Federated States of),Male,4.1,4.0,4.7,4.6,6.4
Micronesia (Federated States of),Female,0.8,0.8,1.0,1.0,1.3
Mongolia,Both,8.2,11.0,9.6,5.3,3.1
Mongolia,Male,12.8,17.1,15.1,8.2,4.8
Mongolia,Female,3.8,5.0,4.4,2.4,1.4
Montenegro,Both,11.5,10.9,15.1,NA,NA
Montenegro,Male,18.3,17.4,23.9,NA,NA
Montenegro,Female,5.0,4.7,6.7,NA,NA
Morocco,Both,0.7,0.7,0.9,1.0,1.0
Morocco,Male,1.2,1.2,1.6,1.7,1.8
Morocco,Female,0.2,0.2,0.2,0.3,0.3
Mozambique,Both,2.3,2.2,1.6,1.3,2.3
Mozambique,Male,3.9,3.7,2.7,2.2,4.0
Mozambique,Female,0.9,0.8,0.6,0.5,0.9
Myanmar,Both,5.1,4.4,2.9,1.7,0.4
Myanmar,Male,8.4,7.3,4.8,2.7,0.6
Myanmar,Female,2.0,1.7,1.2,0.7,0.2
Namibia,Both,5.4,5.2,2.0,2.7,3.3
Namibia,Male,9.1,8.8,3.4,4.6,5.5
Namibia,Female,2.1,2.0,0.8,1.0,1.2
Nauru,Both,3.7,3.7,5.7,3.4,6.0
Nauru,Male,6.2,6.2,9.5,5.7,10.1
Nauru,Female,1.3,1.3,1.9,1.2,2.1
Nepal,Both,2.1,2.1,1.9,1.9,1.1
Nepal,Male,3.5,3.5,3.3,3.3,1.9
Nepal,Female,0.8,0.8,0.7,0.7,0.4
Netherlands,Both,9.6,9.6,10.2,10.7,11.1
Netherlands,Male,14.8,14.8,15.7,16.5,17.1
Netherlands,Female,4.5,4.5,4.8,5.1,5.3
New Zealand,Both,10.6,10.4,11.3,10.9,10.4
New Zealand,Male,16.4,16.1,17.5,16.9,16.2
New Zealand,Female,5.2,5.1,5.5,5.3,5.0
Nicaragua,Both,5.2,5.0,4.8,5.3,5.1
Nicaragua,Male,8.5,8.2,7.8,8.7,8.2
Nicaragua,Female,2.1,2.0,1.9,2.2,2.1
Niger,Both,0.7,0.5,0.3,0.3,0.2
Niger,Male,1.2,1.0,0.5,0.4,0.4
Niger,Female,0.2,0.2,0.1,0.1,0.1
Nigeria,Both,10.8,10.8,11.7,12.5,12.5
Nigeria,Male,17.2,17.2,18.8,20.0,20.1
Nigeria,Female,4.4,4.3,4.6,4.9,4.9
Niue,Both,10.7,10.3,7.4,8.1,8.5
Niue,Male,17.0,16.4,11.8,13.0,13.7
Niue,Female,4.2,4.0,2.9,3.0,3.1
North Macedonia,Both,6.2,5.9,5.9,7.0,7.3
North Macedonia,Male,9.9,9.5,9.5,11.3,11.7
North Macedonia,Female,2.4,2.4,2.4,2.8,3.0
Norway,Both,7.4,7.5,8.9,8.9,7.9
Norway,Male,11.2,11.4,13.6,13.5,12.2
Norway,Female,3.6,3.6,4.3,4.3,3.9
Oman,Both,0.8,0.8,0.7,1.6,6.6
Oman,Male,1.0,1.0,1.0,2.3,9.8
Oman,Female,0.2,0.2,0.2,0.4,1.9
Pakistan,Both,0.3,0.3,0.2,0.2,0.1
Pakistan,Male,0.6,0.5,0.3,0.3,0.1
Pakistan,Female,0.1,0.1,0.1,0.0,0.0
Panama,Both,8.0,7.7,6.8,5.5,5.5
Panama,Male,12.6,12.1,10.8,8.7,8.7
Panama,Female,3.4,3.3,2.9,2.2,2.2
Papua New Guinea,Both,1.4,1.4,1.7,1.6,1.8
Papua New Guinea,Male,2.3,2.3,2.8,2.6,3.0
Papua New Guinea,Female,0.5,0.5,0.6,0.5,0.6
Paraguay,Both,7.6,7.3,7.6,6.7,6.4
Paraguay,Male,11.9,11.4,11.9,10.4,10.0
Paraguay,Female,3.2,3.1,3.2,2.8,2.7
Peru,Both,6.4,6.6,7.7,7.0,6.5
Peru,Male,9.8,10.1,11.8,10.7,10.0
Peru,Female,3.1,3.2,3.7,3.3,3.1
Philippines,Both,6.9,6.7,7.0,5.7,6.1
Philippines,Male,10.9,10.7,11.1,9.1,9.7
Philippines,Female,2.8,2.7,2.8,2.3,2.5
Poland,Both,11.7,11.6,11.2,10.6,9.2
Poland,Male,18.4,18.3,17.6,16.7,14.6
Poland,Female,5.6,5.5,5.3,5.0,4.2
Portugal,Both,12.0,11.9,12.5,13.4,14.1
Portugal,Male,19.4,19.2,19.9,21.0,22.1
Portugal,Female,5.6,5.5,5.9,6.4,6.8
Qatar,Both,1.6,1.6,1.7,1.7,1.2
Qatar,Male,1.9,1.9,2.0,2.2,1.5
Qatar,Female,0.4,0.4,0.4,0.4,0.3
Republic of Korea,Both,9.7,10.0,10.0,10.6,12.3
Republic of Korea,Male,14.7,15.2,15.1,16.0,18.6
Republic of Korea,Female,4.8,5.0,4.9,5.2,6.2
Republic of Moldova,Both,11.4,11.9,15.5,20.0,13.9
